عَشَرَة	1
عِشْرُونَ	2
ثَلَاثُونَ	3
أَرْبَعُونَ	4
خَمْسُونَ	5
سِتُّونَ	6
سَبْعُونَ	7
ثَمَانُونَ	8
تِسْعُونَ	9
